group,test_name,identifier,status,line_number,raw_line
G2,test_missing_smiles_rejected,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_missing_smiles_rejected,ok,13,test_missing_smiles_rejected (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_missing_smiles_rejected) ... ok
G2,test_mock_retrieve_pairs_every_row,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_mock_retrieve_pairs_every_row,ok,14,test_mock_retrieve_pairs_every_row (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_mock_retrieve_pairs_every_row) ... [DRY_RUN] reaction_retriever 返回 mock 候选反应，不构成任何相似性证据
G2,test_non_lowercase_64hex_rejected,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_non_lowercase_64hex_rejected,ok,16,test_non_lowercase_64hex_rejected (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_non_lowercase_64hex_rejected) ... ok
G2,test_paired_construction_ok,tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_paired_construction_ok,ok,17,test_paired_construction_ok (tests.test_t6r3a_g5_pair_contract.TestG5PairContract.test_paired_construction_ok) ... ok
G2,test_bacterial_aggregate_honest_missing_traits,tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_bacterial_aggregate_honest_missing_traits,ok,18,test_bacterial_aggregate_honest_missing_traits (tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_bacterial_aggregate_honest_missing_traits) ... ok
G2,test_fungal_aggregate_identity_only_redline,tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_fungal_aggregate_identity_only_redline,ok,19,test_fungal_aggregate_identity_only_redline (tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_fungal_aggregate_identity_only_redline) ... ok
G2,test_no_unresolved_ledger_or_unmatched_steps,tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_no_unresolved_ledger_or_unmatched_steps,ok,20,test_no_unresolved_ledger_or_unmatched_steps (tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_no_unresolved_ledger_or_unmatched_steps) ... ok
G2,test_route_union_3_of_3_no_double_counting,tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_route_union_3_of_3_no_double_counting,ok,21,test_route_union_3_of_3_no_double_counting (tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_route_union_3_of_3_no_double_counting) ... ok
G2,test_s1_s2_m3_recall_probes_not_in_route,tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_s1_s2_m3_recall_probes_not_in_route,ok,22,test_s1_s2_m3_recall_probes_not_in_route (tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_s1_s2_m3_recall_probes_not_in_route) ... ok
G2,test_two_host_aggregates_each_cover_3_of_3_tasks,tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_two_host_aggregates_each_cover_3_of_3_tasks,ok,23,test_two_host_aggregates_each_cover_3_of_3_tasks (tests.test_t6r3ar1_aggregation_gschema.TestV13RouteAggregationFrozenAggregator.test_two_host_aggregates_each_cover_3_of_3_tasks) ... ok
G2,test_host_evidence_8_of_8_pass_gschema,tests.test_t6r3ar1_aggregation_gschema.TestV14GSchemaOfficialValidation.test_host_evidence_8_of_8_pass_gschema,ok,24,test_host_evidence_8_of_8_pass_gschema (tests.test_t6r3ar1_aggregation_gschema.TestV14GSchemaOfficialValidation.test_host_evidence_8_of_8_pass_gschema) ... ok
G2,test_official_negatives_15_of_15_rejected,tests.test_t6r3ar1_aggregation_gschema.TestV14GSchemaOfficialValidation.test_official_negatives_15_of_15_rejected,ok,25,test_official_negatives_15_of_15_rejected (tests.test_t6r3ar1_aggregation_gschema.TestV14GSchemaOfficialValidation.test_official_negatives_15_of_15_rejected) ... ok
G2,test_official_valid_example_baseline_zero_errors,tests.test_t6r3ar1_aggregation_gschema.TestV14GSchemaOfficialValidation.test_official_valid_example_baseline_zero_errors,ok,26,test_official_valid_example_baseline_zero_errors (tests.test_t6r3ar1_aggregation_gschema.TestV14GSchemaOfficialValidation.test_official_valid_example_baseline_zero_errors) ... ok
G2,test_organism_aggregate_2_of_2_pass_gschema,tests.test_t6r3ar1_aggregation_gschema.TestV14GSchemaOfficialValidation.test_organism_aggregate_2_of_2_pass_gschema,ok,27,test_organism_aggregate_2_of_2_pass_gschema (tests.test_t6r3ar1_aggregation_gschema.TestV14GSchemaOfficialValidation.test_organism_aggregate_2_of_2_pass_gschema) ... ok
G2,test_no_reviewed_forces_unresolved,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_no_reviewed_forces_unresolved,ok,28,test_no_reviewed_forces_unresolved (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_no_reviewed_forces_unresolved) ... ok
G2,test_no_reviewed_resolved_resolution_rejected,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_no_reviewed_resolved_resolution_rejected,ok,29,test_no_reviewed_resolved_resolution_rejected (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_no_reviewed_resolved_resolution_rejected) ... ok
G2,test_no_reviewed_with_kegg_still_unresolved_no_forged_reviewed,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_no_reviewed_with_kegg_still_unresolved_no_forged_reviewed,ok,30,test_no_reviewed_with_kegg_still_unresolved_no_forged_reviewed (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_no_reviewed_with_kegg_still_unresolved_no_forged_reviewed) ... ok
G2,test_reviewed_downgrade_to_unresolved_rejected,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_reviewed_downgrade_to_unresolved_rejected,ok,31,test_reviewed_downgrade_to_unresolved_rejected (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_reviewed_downgrade_to_unresolved_rejected) ... ok
G2,test_reviewed_produces_record_with_real_fields,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_reviewed_produces_record_with_real_fields,ok,32,test_reviewed_produces_record_with_real_fields (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1BuildHostEvidenceRecord.test_reviewed_produces_record_with_real_fields) ... ok
G2,test_empty_and_duplicate_source_list_rejected,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_empty_and_duplicate_source_list_rejected,ok,33,test_empty_and_duplicate_source_list_rejected (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_empty_and_duplicate_source_list_rejected) ... ok
G2,test_evidence_hash_must_be_64hex_lowercase,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_evidence_hash_must_be_64hex_lowercase,ok,34,test_evidence_hash_must_be_64hex_lowercase (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_evidence_hash_must_be_64hex_lowercase) ... ok
G2,test_illegal_host_evidence_source_rejected,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_illegal_host_evidence_source_rejected,ok,35,test_illegal_host_evidence_source_rejected (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_illegal_host_evidence_source_rejected) ... ok
G2,test_illegal_host_resolution_rejected,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_illegal_host_resolution_rejected,ok,36,test_illegal_host_resolution_rejected (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_illegal_host_resolution_rejected) ... ok
G2,test_resolution_enum_frozen,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_resolution_enum_frozen,ok,37,test_resolution_enum_frozen (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_resolution_enum_frozen) ... ok
G2,test_resolved_requires_signature_taxid_name,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_resolved_requires_signature_taxid_name,ok,38,test_resolved_requires_signature_taxid_name (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_resolved_requires_signature_taxid_name) ... ok
G2,test_reviewed_record_accepted_with_frozen_values,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_reviewed_record_accepted_with_frozen_values,ok,39,test_reviewed_record_accepted_with_frozen_values (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_reviewed_record_accepted_with_frozen_values) ... ok
G2,test_reviewed_resolution_unresolved_enum_rejected,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_reviewed_resolution_unresolved_enum_rejected,ok,40,test_reviewed_resolution_unresolved_enum_rejected (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_reviewed_resolution_unresolved_enum_rejected) ... ok
G2,test_reviewed_resolution_with_unresolved_source_rejected,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_reviewed_resolution_with_unresolved_source_rejected,ok,41,test_reviewed_resolution_with_unresolved_source_rejected (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_reviewed_resolution_with_unresolved_source_rejected) ... ok
G2,test_unresolved_record_valid_when_identity_all_none,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_unresolved_record_valid_when_identity_all_none,ok,42,test_unresolved_record_valid_when_identity_all_none (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_unresolved_record_valid_when_identity_all_none) ... ok
G2,test_unresolved_resolution_forbids_fabricated_identity,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_unresolved_resolution_forbids_fabricated_identity,ok,43,test_unresolved_resolution_forbids_fabricated_identity (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_unresolved_resolution_forbids_fabricated_identity) ... ok
G2,test_unresolved_source_must_be_alone,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_unresolved_source_must_be_alone,ok,44,test_unresolved_source_must_be_alone (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1HostEvidenceRecordBoundary.test_unresolved_source_must_be_alone) ... ok
G2,test_frozen_raw_bytes_through_real_client,tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1ProductionMapperWithFrozenTransport.test_frozen_raw_bytes_through_real_client,ok,45,test_frozen_raw_bytes_through_real_client (tests.test_t6r3ar1_g4_host_evidence_record_boundary.TestG4R1ProductionMapperWithFrozenTransport.test_frozen_raw_bytes_through_real_client) ... ok
G2,test_kegg_connect_error_honest_degradation_in_map,tests.test_t6r3ar1_microbe_node_rest_wiring.TestRestFixtureFrozenTransport.test_kegg_connect_error_honest_degradation_in_map,ok,46,test_kegg_connect_error_honest_degradation_in_map (tests.test_t6r3ar1_microbe_node_rest_wiring.TestRestFixtureFrozenTransport.test_kegg_connect_error_honest_degradation_in_map) ... [microbe_recommender] frozen reviewed UID map unavailable: C8_UID_SOURCE_MAP_PATH is not configured: frozen reviewed UID map unavailable (no silent online/name-matching/TaxID-approximation fallback)
G2,test_map_enzyme_hosts_first_seen_dedup,tests.test_t6r3ar1_microbe_node_rest_wiring.TestRestFixtureFrozenTransport.test_map_enzyme_hosts_first_seen_dedup,ok,48,test_map_enzyme_hosts_first_seen_dedup (tests.test_t6r3ar1_microbe_node_rest_wiring.TestRestFixtureFrozenTransport.test_map_enzyme_hosts_first_seen_dedup) ... ok
G2,test_reviewed_hit_through_real_client,tests.test_t6r3ar1_microbe_node_rest_wiring.TestRestFixtureFrozenTransport.test_reviewed_hit_through_real_client,ok,49,test_reviewed_hit_through_real_client (tests.test_t6r3ar1_microbe_node_rest_wiring.TestRestFixtureFrozenTransport.test_reviewed_hit_through_real_client) ... ok
G2,test_unreviewed_entrytype_rejected_with_source_error,tests.test_t6r3ar1_microbe_node_rest_wiring.TestRestFixtureFrozenTransport.test_unreviewed_entrytype_rejected_with_source_error,ok,50,test_unreviewed_entrytype_rejected_with_source_error (tests.test_t6r3ar1_microbe_node_rest_wiring.TestRestFixtureFrozenTransport.test_unreviewed_entrytype_rejected_with_source_error) ... ok
G2,test_microbe_node_imports_direct_rest_client,tests.test_t6r3ar1_microbe_node_rest_wiring.TestV11MicrobeNodeDirectRestWiring.test_microbe_node_imports_direct_rest_client,ok,51,test_microbe_node_imports_direct_rest_client (tests.test_t6r3ar1_microbe_node_rest_wiring.TestV11MicrobeNodeDirectRestWiring.test_microbe_node_imports_direct_rest_client) ... ok
G2,test_no_8001_in_microbe_chain_sources,tests.test_t6r3ar1_microbe_node_rest_wiring.TestV11MicrobeNodeDirectRestWiring.test_no_8001_in_microbe_chain_sources,ok,52,test_no_8001_in_microbe_chain_sources (tests.test_t6r3ar1_microbe_node_rest_wiring.TestV11MicrobeNodeDirectRestWiring.test_no_8001_in_microbe_chain_sources) ... ok
G3,test_no_legacy_or_compat_copies,__main__.TestG2UniquePredictedReaction.test_no_legacy_or_compat_copies,ok,1,test_no_legacy_or_compat_copies (__main__.TestG2UniquePredictedReaction.test_no_legacy_or_compat_copies) ... ok
G3,test_single_definition_across_repo,__main__.TestG2UniquePredictedReaction.test_single_definition_across_repo,ok,2,test_single_definition_across_repo (__main__.TestG2UniquePredictedReaction.test_single_definition_across_repo) ... ok
G3,test_v32_construction_ok_and_rank_depth_guarded,__main__.TestG2UniquePredictedReaction.test_v32_construction_ok_and_rank_depth_guarded,ok,3,test_v32_construction_ok_and_rank_depth_guarded (__main__.TestG2UniquePredictedReaction.test_v32_construction_ok_and_rank_depth_guarded) ... ok
G3,test_v32_fields_present_and_banned_fields_absent,__main__.TestG2UniquePredictedReaction.test_v32_fields_present_and_banned_fields_absent,ok,4,test_v32_fields_present_and_banned_fields_absent (__main__.TestG2UniquePredictedReaction.test_v32_fields_present_and_banned_fields_absent) ... ok
G4,test_frozen_s1_s2_sha_recompute,__main__.TestG5PairContract.test_frozen_s1_s2_sha_recompute,ok,1,test_frozen_s1_s2_sha_recompute (__main__.TestG5PairContract.test_frozen_s1_s2_sha_recompute) ... ok
G4,test_mismatch_rejected,__main__.TestG5PairContract.test_mismatch_rejected,ok,2,test_mismatch_rejected (__main__.TestG5PairContract.test_mismatch_rejected) ... ok
G4,test_missing_sha_rejected,__main__.TestG5PairContract.test_missing_sha_rejected,ok,3,test_missing_sha_rejected (__main__.TestG5PairContract.test_missing_sha_rejected) ... ok
G4,test_missing_smiles_rejected,__main__.TestG5PairContract.test_missing_smiles_rejected,ok,4,test_missing_smiles_rejected (__main__.TestG5PairContract.test_missing_smiles_rejected) ... ok
G4,test_mock_retrieve_pairs_every_row,__main__.TestG5PairContract.test_mock_retrieve_pairs_every_row,ok,5,test_mock_retrieve_pairs_every_row (__main__.TestG5PairContract.test_mock_retrieve_pairs_every_row) ... [DRY_RUN] reaction_retriever 返回 mock 候选反应，不构成任何相似性证据
G4,test_non_lowercase_64hex_rejected,__main__.TestG5PairContract.test_non_lowercase_64hex_rejected,ok,7,test_non_lowercase_64hex_rejected (__main__.TestG5PairContract.test_non_lowercase_64hex_rejected) ... ok
G4,test_paired_construction_ok,__main__.TestG5PairContract.test_paired_construction_ok,ok,8,test_paired_construction_ok (__main__.TestG5PairContract.test_paired_construction_ok) ... ok
G5,h01_mapped_sources_enum_unique_nonempty,G5:1,PASS,1,PASS h01_mapped_sources_enum_unique_nonempty
G5,h02_not_mapped_unresolved,G5:2,PASS,2,PASS h02_not_mapped_unresolved
G5,h03_uid_table_name_rejected,G5:3,PASS,3,PASS h03_uid_table_name_rejected
G5,h04_empty_array_rejected,G5:4,PASS,4,PASS h04_empty_array_rejected
G5,h05_unknown_enum_rejected,G5:5,PASS,5,PASS h05_unknown_enum_rejected
G5,h06_no_reviewed_no_uniprot_reviewed,G5:6,PASS,6,PASS h06_no_reviewed_no_uniprot_reviewed
G5,s01_resolution_lookup_preview_rejected,G5:7,PASS,7,PASS s01_resolution_lookup_preview_rejected
G5,s02_resolution_unnappable_rejected,G5:8,PASS,8,PASS s02_resolution_unnappable_rejected
G5,s03_string_warning_rejected,G5:9,PASS,9,PASS s03_string_warning_rejected
G5,s04_f5_predicted_rejected,G5:10,PASS,10,PASS s04_f5_predicted_rejected
G5,s05_fungi_observed_rejected,G5:11,PASS,11,PASS s05_fungi_observed_rejected
G5,s06_ranking_true_rejected,G5:12,PASS,12,PASS s06_ranking_true_rejected
G5,s07_missing_trait_rejected,G5:13,PASS,13,PASS s07_missing_trait_rejected
G5,t01_all_17_mapped_16_main_sources,G5:14,PASS,14,PASS t01_all_17_mapped_16_main_sources
G5,t02_each_source_15_traits_f_order,G5:15,PASS,15,PASS t02_each_source_15_traits_f_order
G5,t03_some_observed_some_missing,G5:16,PASS,16,PASS t03_some_observed_some_missing
G5,t04_fungi_identity_only_if_present,G5:17,PASS,17,PASS t04_fungi_identity_only_if_present
G5,t05_f5_f8_f15_red_lines,G5:18,PASS,18,PASS t05_f5_f8_f15_red_lines
G5,t06_predicted_candidate_warning_only,G5:19,PASS,19,PASS t06_predicted_candidate_warning_only
G5,t07_not_mapped_explicit_unresolved,G5:20,PASS,20,PASS t07_not_mapped_explicit_unresolved
G5,t08_duplicate_uid_dedup,G5:21,PASS,21,PASS t08_duplicate_uid_dedup
G5,t09_missing_asset_fail_closed,G5:22,PASS,22,PASS t09_missing_asset_fail_closed
G5,t10_node_preserves_candidate_order,G5:23,PASS,23,PASS t10_node_preserves_candidate_order
G5,t11_no_candidates_none_semantics,G5:24,PASS,24,PASS t11_no_candidates_none_semantics
G5,t12_no_forbidden_score_fields,G5:25,PASS,25,PASS t12_no_forbidden_score_fields
G5,t13_deterministic,G5:26,PASS,26,PASS t13_deterministic
G5,t14_gschema_shape,G5:27,PASS,27,PASS t14_gschema_shape
G5,t15_zero_network_calls,G5:28,PASS,28,PASS t15_zero_network_calls
G5,t16_uid_sha_fail_closed,G5:29,PASS,29,PASS t16_uid_sha_fail_closed
G5,t17_lookup_sha_fail_closed,G5:30,PASS,30,PASS t17_lookup_sha_fail_closed
G5,t18_semicolon_only_parsing,G5:31,PASS,31,PASS t18_semicolon_only_parsing
G5,t19_resolution_rules,G5:32,PASS,32,PASS t19_resolution_rules
G6,c01_real_t1_single_step_regression,G6:1,PASS,1,PASS c01_real_t1_single_step_regression
G6,c02_two_steps_same_source_covered2,G6:2,PASS,2,PASS c02_two_steps_same_source_covered2
G6,c03_only_one_step_covered,G6:3,PASS,3,PASS c03_only_one_step_covered
G6,c04_same_name_different_source_not_merged,G6:4,PASS,4,PASS c04_same_name_different_source_not_merged
