case_id,input_row_number,parent_smiles,status,classification,rank,product_smiles,canonical_product_identity,lane,source_evidence_eligibilities,source_snapshot_lanes,conditional_eligible,warnings,failures,blocker_code,blocker_reason,error_type,raw_candidate_id,raw_donor_reaction_id,raw_json_path
SPD-BBD2-PARENT-c0148,11,C=CC#N,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_010_SPD-BBD2-PARENT-c0148.json
SPD-BBD2-PARENT-c0153,12,O[C@@H](C([O-])=O)c1ccccc1,completed_with_warnings,ranked_prediction,1,O=C([O-])C(=O)c1ccccc1,O=C([O-])C(=O)c1ccccc1,strict,"[""conditional_eligible""]","[""production""]",True,"[""implicit_h_e_policy""]","[""TRANSFORM_EXTRACTION_FAILED""]",,,,cand_b2458560ace8,real_real_audit_case_002,RAW_OUTPUTS/bbd83_direct/case_011_SPD-BBD2-PARENT-c0153.json
SPD-BBD2-PARENT-c0163,13,Oc1nc(O)nc(O)n1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_012_SPD-BBD2-PARENT-c0163.json
SPD-BBD2-PARENT-c0177,14,Clc1ccc(cc1)-c1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_013_SPD-BBD2-PARENT-c0177.json
SPD-BBD2-PARENT-c0233,15,ClCCl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_014_SPD-BBD2-PARENT-c0233.json
SPD-BBD2-PARENT-c0236,16,CS(C)=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_015_SPD-BBD2-PARENT-c0236.json
SPD-BBD2-PARENT-c0245,17,Nc1ccccc1S([O-])(=O)=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_016_SPD-BBD2-PARENT-c0245.json
SPD-BBD2-PARENT-c0286,18,[O-]C(=O)\C=C/Cl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_017_SPD-BBD2-PARENT-c0286.json
SPD-BBD2-PARENT-c0288,19,[O-]C(=O)COc1ccc(Cl)cc1Cl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_018_SPD-BBD2-PARENT-c0288.json
SPD-BBD2-PARENT-c0345,20,Nc1ccccc1C([O-])=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_019_SPD-BBD2-PARENT-c0345.json
SPD-BBD2-PARENT-c0352,21,NC1(CC1)C([O-])=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_020_SPD-BBD2-PARENT-c0352.json
SPD-BBD2-PARENT-c0367,22,N#Cc1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_021_SPD-BBD2-PARENT-c0367.json
SPD-BBD2-PARENT-c0371,23,c1ccc(cc1)-c1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_022_SPD-BBD2-PARENT-c0371.json
SPD-BBD2-PARENT-c0375,24,CC(C)c1ccc(C)cc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_023_SPD-BBD2-PARENT-c0375.json
SPD-BBD2-PARENT-c0388,25,C1c2ccccc2-c2ccccc12,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_024_SPD-BBD2-PARENT-c0388.json
SPD-BBD2-PARENT-c0407,26,CC1(C)C2CCC1(C)C(=O)C2,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_025_SPD-BBD2-PARENT-c0407.json
SPD-BBD2-PARENT-c0426,27,O1c2ccccc2Oc2ccccc12,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_026_SPD-BBD2-PARENT-c0426.json
SPD-BBD2-PARENT-c0432,28,O=C1CCCCCN1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_027_SPD-BBD2-PARENT-c0432.json
SPD-BBD2-PARENT-c0444,29,c1ccc2c(c1)[nH]c1ccccc21,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_028_SPD-BBD2-PARENT-c0444.json
SPD-BBD2-PARENT-c0480,30,Oc1c(Br)cc(cc1Br)C#N,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_029_SPD-BBD2-PARENT-c0480.json
SPD-BBD2-PARENT-c0486,31,ClC(Cl)(Cl)Cl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_030_SPD-BBD2-PARENT-c0486.json
SPD-BBD2-PARENT-c0526,32,C#C,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_031_SPD-BBD2-PARENT-c0526.json
SPD-BBD2-PARENT-c0563,33,CCCCCCCCCCCCOS([O-])(=O)=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_032_SPD-BBD2-PARENT-c0563.json
SPD-BBD2-PARENT-c0593,34,Clc1ccc(Cl)cc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_033_SPD-BBD2-PARENT-c0593.json
SPD-BBD2-PARENT-c0597,35,NC#N,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_034_SPD-BBD2-PARENT-c0597.json
SPD-BBD2-PARENT-c0604,36,O=C1C2CC3CC(C2)CC1C3,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_035_SPD-BBD2-PARENT-c0604.json
SPD-BBD2-PARENT-c0612,37,ClC\C=C/Cl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_036_SPD-BBD2-PARENT-c0612.json
SPD-BBD2-PARENT-c0626,38,CC(=C)C1CCC(C)=CC1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_037_SPD-BBD2-PARENT-c0626.json
SPD-BBD2-PARENT-c0639,39,[O-][N+](=O)N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_038_SPD-BBD2-PARENT-c0639.json
SPD-BBD2-PARENT-c0653,40,CC(C)N(C(=O)CCl)c1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_039_SPD-BBD2-PARENT-c0653.json
SPD-BBD2-PARENT-c0689,41,[O-]S(=O)(=O)NC1CCCCC1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_040_SPD-BBD2-PARENT-c0689.json
SPD-BBD2-PARENT-c0691,42,CP(C)([O-])=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_041_SPD-BBD2-PARENT-c0691.json
SPD-BBD2-PARENT-c0694,43,CC(=O)c1ccc(O)cc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_042_SPD-BBD2-PARENT-c0694.json
SPD-BBD2-PARENT-c0764,44,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_043_SPD-BBD2-PARENT-c0764.json
SPD-BBD2-PARENT-c0765,45,Nc1ccc(Cl)cc1Cl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_044_SPD-BBD2-PARENT-c0765.json
SPD-BBD2-PARENT-c0865,46,Cc1ccc(Cl)cc1Cl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_045_SPD-BBD2-PARENT-c0865.json
SPD-BBD2-PARENT-c0897,47,C(SCc1ccccc1)c1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_046_SPD-BBD2-PARENT-c0897.json
SPD-BBD2-PARENT-c0908,48,C#[N+]C1CCCCC1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_047_SPD-BBD2-PARENT-c0908.json
SPD-BBD2-PARENT-c0939,49,OP=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_048_SPD-BBD2-PARENT-c0939.json
SPD-BBD2-PARENT-c0941,50,C1CCCCC1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_049_SPD-BBD2-PARENT-c0941.json
SPD-BBD2-PARENT-c0946,51,CCCCCCCCCCCCc1ccc(cc1)S([O-])(=O)=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_050_SPD-BBD2-PARENT-c0946.json
SPD-BBD2-PARENT-c0991,52,c1ccc2cc3ccccc3cc2c1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_051_SPD-BBD2-PARENT-c0991.json
SPD-BBD2-PARENT-c1013,53,CC(CCO)CCC=C(C)C,completed_with_warnings,ranked_prediction,1,CC(C)=CCCC(C)CC=O,CC(C)=CCCC(C)CC=O,strict,"[""conditional_eligible""]","[""production""]",True,"[""implicit_h_e_policy""]","[""TRANSFORM_EXTRACTION_FAILED""]",,,,cand_5125ed880354,real_real_audit_case_001,RAW_OUTPUTS/bbd83_direct/case_052_SPD-BBD2-PARENT-c1013.json
SPD-BBD2-PARENT-c1019,54,Sc1nc2ccccc2s1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_053_SPD-BBD2-PARENT-c1019.json
SPD-BBD2-PARENT-c1039,55,[O-]C(=O)c1ccc(F)cc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_054_SPD-BBD2-PARENT-c1039.json
SPD-BBD2-PARENT-c1043,56,CC(C)=CCC\C(C)=C\CO,completed_with_warnings,ranked_prediction,1,CC(C)=CCCC(C)=CC=O,CC(C)=CCCC(C)=CC=O,strict,"[""conditional_eligible""]","[""production""]",True,"[""implicit_h_e_policy""]","[""TRANSFORM_EXTRACTION_FAILED""]",,,,cand_abf8e5fc6a30,real_real_audit_case_001,RAW_OUTPUTS/bbd83_direct/case_055_SPD-BBD2-PARENT-c1043.json
SPD-BBD2-PARENT-c1066,57,CC(C)[C@@H]1CC[C@@H](C)CC1O,completed_with_warnings,ranked_prediction,1,CC1CCC(C(C)C)C(=O)C1,CC1CCC(C(C)C)C(=O)C1,strict,"[""conditional_eligible""]","[""production""]",True,"[""implicit_h_e_policy""]","[""TRANSFORM_EXTRACTION_FAILED""]",,,,cand_2a1387bdbda7,real_real_audit_case_002,RAW_OUTPUTS/bbd83_direct/case_056_SPD-BBD2-PARENT-c1066.json
SPD-BBD2-PARENT-c1072,58,[O-]C(=O)c1cccc(F)c1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_057_SPD-BBD2-PARENT-c1072.json
SPD-BBD2-PARENT-c1078,59,CC(C)CC(C)(C)C,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_058_SPD-BBD2-PARENT-c1078.json
SPD-BBD2-PARENT-c1094,60,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_059_SPD-BBD2-PARENT-c1094.json
SPD-BBD2-PARENT-c1161,61,NNC(=O)c1ccncc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_060_SPD-BBD2-PARENT-c1161.json
SPD-BBD2-PARENT-c1182,62,O=Cc1ccco1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_061_SPD-BBD2-PARENT-c1182.json
SPD-BBD2-PARENT-c1188,63,ClC1=C(Cl)C2(Cl)C3COS(=O)OCC3C1(Cl)C2(Cl)Cl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_062_SPD-BBD2-PARENT-c1188.json
SPD-BBD2-PARENT-c1201,64,Oc1ccncc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_063_SPD-BBD2-PARENT-c1201.json
SPD-BBD2-PARENT-c1263,65,COC(=O)NS(=O)(=O)c1ccc(N)cc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_064_SPD-BBD2-PARENT-c1263.json
SPD-BBD2-PARENT-c1266,66,Oc1ccc(Cc2ccc(O)cc2)cc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_065_SPD-BBD2-PARENT-c1266.json
SPD-BBD2-PARENT-c1267,67,COC(=O)c1cccc(c1)C(=O)OC,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_066_SPD-BBD2-PARENT-c1267.json
SPD-BBD2-PARENT-c1285,68,CNC(=O)Oc1cccc2CC(C)(C)Oc12,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_067_SPD-BBD2-PARENT-c1285.json
SPD-BBD2-PARENT-c1296,69,Cc1nnc(-c2ccccc2)c(=O)n1N,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_068_SPD-BBD2-PARENT-c1296.json
SPD-BBD2-PARENT-c1313,70,Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_069_SPD-BBD2-PARENT-c1313.json
SPD-BBD2-PARENT-c1350,71,[O-]C(=O)CCSSCCC([O-])=O,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_070_SPD-BBD2-PARENT-c1350.json
SPD-BBD2-PARENT-c1352,72,CCN(CC)C(=O)c1cccc(C)c1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_071_SPD-BBD2-PARENT-c1352.json
SPD-BBD2-PARENT-c1354,73,C1COCCO1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_072_SPD-BBD2-PARENT-c1354.json
